2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 57, Cliente 25, 2 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 56, Cliente 31, 3 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 55, Cliente 25, 1 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 54, Cliente 25, 10 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 53, Cliente 31, 10 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 52, Cliente 31, 3 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 51, Cliente 25, 2 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 50, Cliente 31, 5 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 49, Cliente 25, 2 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 48, Cliente 31, 5 días
2025-12-11 20:12:32 - renta_model - INFO - Renta creada: ID 47, Cliente 25, 4 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 66, Cliente 31, 3 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 65, Cliente 31, 2 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 64, Cliente 31, 3 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 63, Cliente 31, 5 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 62, Cliente 31, 5 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 61, Cliente 31, 100 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 60, Cliente 25, 5 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 59, Cliente 25, 80 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 58, Cliente 25, 50 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 57, Cliente 25, 2 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 56, Cliente 31, 3 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 55, Cliente 25, 1 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 54, Cliente 25, 10 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 53, Cliente 31, 10 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 52, Cliente 31, 3 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 51, Cliente 25, 2 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 50, Cliente 31, 5 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 49, Cliente 25, 2 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 48, Cliente 31, 5 días
2025-12-11 20:13:40 - renta_model - INFO - Renta creada: ID 47, Cliente 25, 4 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 66, Cliente 31, 3 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 65, Cliente 31, 2 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 64, Cliente 31, 3 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 63, Cliente 31, 5 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 62, Cliente 31, 5 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 61, Cliente 31, 100 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 60, Cliente 25, 5 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 59, Cliente 25, 80 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 58, Cliente 25, 50 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 57, Cliente 25, 2 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 56, Cliente 31, 3 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 55, Cliente 25, 1 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 54, Cliente 25, 10 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 53, Cliente 31, 10 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 52, Cliente 31, 3 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 51, Cliente 25, 2 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 50, Cliente 31, 5 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 49, Cliente 25, 2 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 48, Cliente 31, 5 días
2025-12-11 20:14:34 - renta_model - INFO - Renta creada: ID 47, Cliente 25, 4 días
